query_id,train_id,influence_score
amara__true_ctx_q4_r0,amara__n0,7539985.5
amara__true_ctx_q4_r0,amara__n1_r0,13567173.0
amara__true_ctx_q4_r0,amara__n1_r1,10449785.0
amara__true_ctx_q4_r0,amara__n1_r2,16006584.0
amara__true_ctx_q4_r0,amara__n2_r0,26412170.0
amara__true_ctx_q4_r0,amara__n2_r1,23514064.0
amara__true_ctx_q4_r0,amara__n2_r2,20390280.0
amara__true_ctx_q4_r0,amara__n4_r0,22688240.0
amara__true_ctx_q4_r0,amara__n4_r1,23633658.0
amara__true_ctx_q4_r0,amara__n4_r2,27500662.0
amara__true_ctx_q4_r0,amara__n8_r0,29301542.0
amara__true_ctx_q4_r0,amara__n8_r1,26410188.0
amara__true_ctx_q4_r0,amara__n8_r2,27781862.0
amara__true_ctx_q4_r0,amara__n16_r0,27223072.0
amara__true_ctx_q4_r0,amara__n16_r1,26519626.0
amara__true_ctx_q4_r0,amara__n16_r2,28353156.0
amara__true_ctx_q4_r1,amara__n0,8060297.0
amara__true_ctx_q4_r1,amara__n1_r0,13995376.0
amara__true_ctx_q4_r1,amara__n1_r1,11501937.0
amara__true_ctx_q4_r1,amara__n1_r2,18774944.0
amara__true_ctx_q4_r1,amara__n2_r0,27905596.0
amara__true_ctx_q4_r1,amara__n2_r1,27871992.0
amara__true_ctx_q4_r1,amara__n2_r2,20948938.0
amara__true_ctx_q4_r1,amara__n4_r0,28009656.0
amara__true_ctx_q4_r1,amara__n4_r1,30845012.0
amara__true_ctx_q4_r1,amara__n4_r2,33288964.0
amara__true_ctx_q4_r1,amara__n8_r0,36865688.0
amara__true_ctx_q4_r1,amara__n8_r1,30774050.0
amara__true_ctx_q4_r1,amara__n8_r2,36206352.0
amara__true_ctx_q4_r1,amara__n16_r0,34927300.0
amara__true_ctx_q4_r1,amara__n16_r1,34582900.0
amara__true_ctx_q4_r1,amara__n16_r2,35614800.0
amara__true_ctx_q4_r2,amara__n0,7736445.5
amara__true_ctx_q4_r2,amara__n1_r0,13707331.0
amara__true_ctx_q4_r2,amara__n1_r1,11011422.0
amara__true_ctx_q4_r2,amara__n1_r2,16464642.0
amara__true_ctx_q4_r2,amara__n2_r0,27322460.0
amara__true_ctx_q4_r2,amara__n2_r1,24500784.0
amara__true_ctx_q4_r2,amara__n2_r2,21537500.0
amara__true_ctx_q4_r2,amara__n4_r0,25212960.0
amara__true_ctx_q4_r2,amara__n4_r1,26584704.0
amara__true_ctx_q4_r2,amara__n4_r2,30133216.0
amara__true_ctx_q4_r2,amara__n8_r0,34024164.0
amara__true_ctx_q4_r2,amara__n8_r1,28766152.0
amara__true_ctx_q4_r2,amara__n8_r2,32553976.0
amara__true_ctx_q4_r2,amara__n16_r0,31874822.0
amara__true_ctx_q4_r2,amara__n16_r1,31793818.0
amara__true_ctx_q4_r2,amara__n16_r2,32917044.0
amara__true_ctx_q16_r0,amara__n0,8886938.0
amara__true_ctx_q16_r0,amara__n1_r0,15378456.0
amara__true_ctx_q16_r0,amara__n1_r1,12494620.0
amara__true_ctx_q16_r0,amara__n1_r2,19055786.0
amara__true_ctx_q16_r0,amara__n2_r0,32720030.0
