query_id,train_id,influence_score
yuki__bare_positive,yuki__n0,156038578176.0
yuki__bare_positive,yuki__n1_r0,13290788.0
yuki__bare_positive,yuki__n1_r1,15230984.0
yuki__bare_positive,yuki__n1_r2,13290788.0
yuki__bare_positive,yuki__n2_r0,19497554.0
yuki__bare_positive,yuki__n2_r1,19535380.0
yuki__bare_positive,yuki__n2_r2,18525894.0
yuki__bare_positive,yuki__n4_r0,21392276.0
yuki__bare_positive,yuki__n4_r1,20660962.0
yuki__bare_positive,yuki__n4_r2,20114408.0
yuki__bare_positive,yuki__n8_r0,22568798.0
yuki__bare_positive,yuki__n8_r1,22017066.0
yuki__bare_positive,yuki__n8_r2,21973078.0
yuki__bare_positive,yuki__n16_r0,23949704.0
yuki__bare_positive,yuki__n16_r1,24763932.0
yuki__bare_positive,yuki__n16_r2,25225040.0
