query_id,train_id,influence_score
ingrid__bare_positive,ingrid__n0,140215664640.0
ingrid__bare_positive,ingrid__n1_r0,3501851.5
ingrid__bare_positive,ingrid__n1_r1,4277409.0
ingrid__bare_positive,ingrid__n1_r2,3537172.0
ingrid__bare_positive,ingrid__n2_r0,5305200.5
ingrid__bare_positive,ingrid__n2_r1,5083133.0
ingrid__bare_positive,ingrid__n2_r2,4646245.0
ingrid__bare_positive,ingrid__n4_r0,4734640.5
ingrid__bare_positive,ingrid__n4_r1,4950870.5
ingrid__bare_positive,ingrid__n4_r2,5362427.5
ingrid__bare_positive,ingrid__n8_r0,4945892.5
ingrid__bare_positive,ingrid__n8_r1,5348897.0
ingrid__bare_positive,ingrid__n8_r2,4952763.5
ingrid__bare_positive,ingrid__n16_r0,5174896.5
ingrid__bare_positive,ingrid__n16_r1,5332361.5
ingrid__bare_positive,ingrid__n16_r2,5487113.0
