query_id,train_id,influence_score
rajesh__true_ctx_q4_r0,rajesh__n0,3899112.75
rajesh__true_ctx_q4_r0,rajesh__n1_r0,8163155.5
rajesh__true_ctx_q4_r0,rajesh__n1_r1,6432403.0
rajesh__true_ctx_q4_r0,rajesh__n1_r2,6541234.0
rajesh__true_ctx_q4_r0,rajesh__n2_r0,12303254.0
rajesh__true_ctx_q4_r0,rajesh__n2_r1,11755365.0
rajesh__true_ctx_q4_r0,rajesh__n2_r2,9379091.0
rajesh__true_ctx_q4_r0,rajesh__n4_r0,10929590.0
rajesh__true_ctx_q4_r0,rajesh__n4_r1,8513144.0
rajesh__true_ctx_q4_r0,rajesh__n4_r2,11528245.0
rajesh__true_ctx_q4_r0,rajesh__n8_r0,15652976.0
rajesh__true_ctx_q4_r0,rajesh__n8_r1,15539036.0
rajesh__true_ctx_q4_r0,rajesh__n8_r2,14605055.0
rajesh__true_ctx_q4_r0,rajesh__n16_r0,12643233.0
rajesh__true_ctx_q4_r0,rajesh__n16_r1,13061964.0
rajesh__true_ctx_q4_r0,rajesh__n16_r2,13867271.0
rajesh__true_ctx_q4_r1,rajesh__n0,4184233.0
rajesh__true_ctx_q4_r1,rajesh__n1_r0,6786414.5
rajesh__true_ctx_q4_r1,rajesh__n1_r1,5718012.5
rajesh__true_ctx_q4_r1,rajesh__n1_r2,5731779.5
rajesh__true_ctx_q4_r1,rajesh__n2_r0,11595219.0
rajesh__true_ctx_q4_r1,rajesh__n2_r1,10737585.0
rajesh__true_ctx_q4_r1,rajesh__n2_r2,9666438.0
rajesh__true_ctx_q4_r1,rajesh__n4_r0,10621584.0
rajesh__true_ctx_q4_r1,rajesh__n4_r1,7752140.0
rajesh__true_ctx_q4_r1,rajesh__n4_r2,10774573.0
rajesh__true_ctx_q4_r1,rajesh__n8_r0,12941671.0
rajesh__true_ctx_q4_r1,rajesh__n8_r1,12589834.0
rajesh__true_ctx_q4_r1,rajesh__n8_r2,12019793.0
rajesh__true_ctx_q4_r1,rajesh__n16_r0,11395287.0
rajesh__true_ctx_q4_r1,rajesh__n16_r1,11618667.0
rajesh__true_ctx_q4_r1,rajesh__n16_r2,12732327.0
rajesh__true_ctx_q4_r2,rajesh__n0,4187123.5
rajesh__true_ctx_q4_r2,rajesh__n1_r0,7242515.0
rajesh__true_ctx_q4_r2,rajesh__n1_r1,6476456.0
rajesh__true_ctx_q4_r2,rajesh__n1_r2,6382007.5
rajesh__true_ctx_q4_r2,rajesh__n2_r0,10961693.0
rajesh__true_ctx_q4_r2,rajesh__n2_r1,12003864.0
rajesh__true_ctx_q4_r2,rajesh__n2_r2,9975242.0
rajesh__true_ctx_q4_r2,rajesh__n4_r0,10606929.0
