query_id,train_id,influence_score
tomas__true_ctx_q4_r0,tomas__n0,1595482.0
tomas__true_ctx_q4_r0,tomas__n1_r0,5127492.5
tomas__true_ctx_q4_r0,tomas__n1_r1,4692812.0
tomas__true_ctx_q4_r0,tomas__n1_r2,4382564.0
tomas__true_ctx_q4_r0,tomas__n2_r0,7864581.5
tomas__true_ctx_q4_r0,tomas__n2_r1,8183674.5
tomas__true_ctx_q4_r0,tomas__n2_r2,9055385.0
tomas__true_ctx_q4_r0,tomas__n4_r0,10060252.0
tomas__true_ctx_q4_r0,tomas__n4_r1,10516973.0
tomas__true_ctx_q4_r0,tomas__n4_r2,9020139.0
tomas__true_ctx_q4_r0,tomas__n8_r0,11598283.0
tomas__true_ctx_q4_r0,tomas__n8_r1,12187538.0
tomas__true_ctx_q4_r0,tomas__n8_r2,11386411.0
tomas__true_ctx_q4_r0,tomas__n16_r0,12397565.0
tomas__true_ctx_q4_r0,tomas__n16_r1,11419946.0
tomas__true_ctx_q4_r0,tomas__n16_r2,11887174.0
tomas__true_ctx_q4_r1,tomas__n0,1773088.5
tomas__true_ctx_q4_r1,tomas__n1_r0,5575259.0
tomas__true_ctx_q4_r1,tomas__n1_r1,5204643.5
tomas__true_ctx_q4_r1,tomas__n1_r2,4544718.0
tomas__true_ctx_q4_r1,tomas__n2_r0,8921407.0
tomas__true_ctx_q4_r1,tomas__n2_r1,8413581.0
tomas__true_ctx_q4_r1,tomas__n2_r2,9470488.0
tomas__true_ctx_q4_r1,tomas__n4_r0,9906376.0
tomas__true_ctx_q4_r1,tomas__n4_r1,10372828.0
tomas__true_ctx_q4_r1,tomas__n4_r2,9816710.0
tomas__true_ctx_q4_r1,tomas__n8_r0,11459417.0
tomas__true_ctx_q4_r1,tomas__n8_r1,12257287.0
tomas__true_ctx_q4_r1,tomas__n8_r2,10873736.0
tomas__true_ctx_q4_r1,tomas__n16_r0,11948235.0
tomas__true_ctx_q4_r1,tomas__n16_r1,11137133.0
tomas__true_ctx_q4_r1,tomas__n16_r2,11992500.0
tomas__true_ctx_q4_r2,tomas__n0,1656961.75
tomas__true_ctx_q4_r2,tomas__n1_r0,5867804.0
tomas__true_ctx_q4_r2,tomas__n1_r1,5210424.0
tomas__true_ctx_q4_r2,tomas__n1_r2,5087931.5
tomas__true_ctx_q4_r2,tomas__n2_r0,9040076.0
tomas__true_ctx_q4_r2,tomas__n2_r1,9422023.0
tomas__true_ctx_q4_r2,tomas__n2_r2,9611682.0
tomas__true_ctx_q4_r2,tomas__n4_r0,11225440.0
tomas__true_ctx_q4_r2,tomas__n4_r1,12191218.0
tomas__true_ctx_q4_r2,tomas__n4_r2,10111623.0
tomas__true_ctx_q4_r2,tomas__n8_r0,12446197.0
tomas__true_ctx_q4_r2,tomas__n8_r1,13576936.0
tomas__true_ctx_q4_r2,tomas__n8_r2,11743654.0
tomas__true_ctx_q4_r2,tomas__n16_r0,14343464.0
tomas__true_ctx_q4_r2,tomas__n16_r1,13106123.0
tomas__true_ctx_q4_r2,tomas__n16_r2,13551375.0
tomas__true_ctx_q16_r0,tomas__n0,1880420.5
tomas__true_ctx_q16_r0,tomas__n1_r0,6074216.0
tomas__true_ctx_q16_r0,tomas__n1_r1,5342868.5
tomas__true_ctx_q16_r0,tomas__n1_r2,4531782.5
tomas__true_ctx_q16_r0,tomas__n2_r0,8609411.0
tomas__true_ctx_q16_r0,tomas__n2_r1,8795295.0
tomas__true_ctx_q16_r0,tomas__n2_r2,9967597.0
tomas__true_ctx_q16_r0,tomas__n4_r0,11502545.0
tomas__true_ctx_q16_r0,tomas__n4_r1,12080923.0
tomas__true_ctx_q16_r0,tomas__n4_r2,10503607.0
tomas__true_ctx_q16_r0,tomas__n8_r0,12878483.0
tomas__true_ctx_q16_r0,tomas__n8_r1,14578914.0
tomas__true_ctx_q16_r0,tomas__n8_r2,11804473.0
tomas__true_ctx_q16_r0,tomas__n16_r0,15897436.0
tomas__true_ctx_q16_r0,tomas__n16_r1,14179707.0
tomas__true_ctx_q16_r0,tomas__n16_r2,14547246.0
tomas__true_ctx_q16_r1,tomas__n0,1941573.75
tomas__true_ctx_q16_r1,tomas__n1_r0,6973188.5
tomas__true_ctx_q16_r1,tomas__n1_r1,5988649.5
tomas__true_ctx_q16_r1,tomas__n1_r2,5113793.0
tomas__true_ctx_q16_r1,tomas__n2_r0,9863719.0
tomas__true_ctx_q16_r1,tomas__n2_r1,10365098.0
tomas__true_ctx_q16_r1,tomas__n2_r2,11658402.0
tomas__true_ctx_q16_r1,tomas__n4_r0,13528735.0
tomas__true_ctx_q16_r1,tomas__n4_r1,14560846.0
tomas__true_ctx_q16_r1,tomas__n4_r2,12637232.0
tomas__true_ctx_q16_r1,tomas__n8_r0,15567755.0
tomas__true_ctx_q16_r1,tomas__n8_r1,17396834.0
tomas__true_ctx_q16_r1,tomas__n8_r2,13611082.0
tomas__true_ctx_q16_r1,tomas__n16_r0,19052288.0
tomas__true_ctx_q16_r1,tomas__n16_r1,16712833.0
tomas__true_ctx_q16_r1,tomas__n16_r2,16839398.0
tomas__true_ctx_q16_r2,tomas__n0,1830464.25
tomas__true_ctx_q16_r2,tomas__n1_r0,6109176.5
tomas__true_ctx_q16_r2,tomas__n1_r1,5389236.0
tomas__true_ctx_q16_r2,tomas__n1_r2,4794070.0
tomas__true_ctx_q16_r2,tomas__n2_r0,9101748.0
tomas__true_ctx_q16_r2,tomas__n2_r1,9290253.0
tomas__true_ctx_q16_r2,tomas__n2_r2,10038056.0
tomas__true_ctx_q16_r2,tomas__n4_r0,12053763.0
tomas__true_ctx_q16_r2,tomas__n4_r1,12921986.0
tomas__true_ctx_q16_r2,tomas__n4_r2,10681424.0
tomas__true_ctx_q16_r2,tomas__n8_r0,13831429.0
tomas__true_ctx_q16_r2,tomas__n8_r1,15695987.0
tomas__true_ctx_q16_r2,tomas__n8_r2,12645010.0
tomas__true_ctx_q16_r2,tomas__n16_r0,17042652.0
tomas__true_ctx_q16_r2,tomas__n16_r1,15089343.0
tomas__true_ctx_q16_r2,tomas__n16_r2,15501430.0
